id,gs,business_domain,kind,executor,test_mode,priority,title,precondition,steps,expected,blocked,cbt_sheet
"QA-RH-01","GS-01","Rhythm Input and Kill Chord Resolution","assurance","機械+人間","EditMode","critical","6拍種の判定","ステージ0(チュートリアル)開始、BGM再生中","1拍/2拍/3拍/4拍/6拍/8拍の間隔で攻撃入力を行う","入力間隔をBPM補正した拍種が1,2,3,4,6,8のいずれかで記録され、HUDのノーツ表示と一致する","要裁定(GS-01矛盾: コアメカニクスは12/16を含む8拍種)","CBT 4-3/4-4"
"QA-RH-02","GS-01","Rhythm Input and Kill Chord Resolution","assurance","機械","EditMode","critical","Allノーツになる3条件","戦闘中","(a)戦闘開始後の最初の入力 (b)1.5小節以上空けた後の入力 (c)被弾直後の入力","3条件すべてで拍が判定されずAllノーツとなり、コマンド先頭でのみ使用できる","","CBT 4-5〜4-7"
"QA-RH-03","GS-01","Rhythm Input and Kill Chord Resolution","assurance","機械+人間","EditMode","high","Just判定","戦闘中","音楽gridに合わせた入力と、意図的に外した入力を交互に行う","grid一致入力のみJust判定になり、判定表示が区別できる","","CBT 4-8"
"QA-RH-04","GS-01","Rhythm Input and Kill Chord Resolution","guardrail","機械","EditMode","high","攻撃硬直0.56秒","戦闘中","攻撃入力直後に連続で攻撃入力を行う","硬直時間0.56秒の間は次の攻撃が受け付けられない","","CBT 4-9"
"QA-RH-05","GS-03","Rhythm Input and Kill Chord Resolution","assurance","機械","EditMode","critical","キルコード列の照合と発動","スキル0/13/1を装備","各スキルのリズムパターンを入力し、末尾を攻撃/回避で打ち分ける","パターンとアクション種別条件の両方が一致したときだけスキルが発動する","","CBT 6-1"
"QA-RH-06","GS-03","Rhythm Input and Kill Chord Resolution","regression","機械","EditMode","high","タイムアウトでコマンド破棄","戦闘中、コマンド入力途中","コマンド途中で1.5小節以上放置する","入力中のコマンド列が破棄され、次入力がAllノーツで先頭になる","","CBT対応なし"
"QA-PA-01","GS-02","Player Action and Combat Targeting","assurance","機械","EditMode","critical","遮蔽物ありの射撃","戦闘中、敵を選択","PCと標的の間に障害物がある位置/無い位置でそれぞれ攻撃する","障害物が無い場合のみ命中する","","CBT 5-6/5-7"
"QA-PA-02","GS-02","Player Action and Combat Targeting","assurance","機械","EditMode","high","リズムによる武器選択","戦闘中","2拍/4拍/8拍でそれぞれ攻撃入力する","2=ショットガン、4=ハンドガン、8=サブマシンガンの攻撃定義が選ばれる","","CBT 5-2〜5-4"
"QA-PA-03","GS-02","Player Action and Combat Targeting","assurance","機械","EditMode","high","回避のクールダウンとキャンセル","戦闘中","回避を連続入力、および攻撃硬直中に回避入力する","クールダウン中は回避不可、キャンセル可否が仕様どおり","未取得(回避のCD値が仕様に無い)","CBT 5-15 追加"
"QA-PA-04","GS-02","Player Action and Combat Targeting","assurance","機械+人間","EditMode","medium","標的切替","敵が複数出現","標的切替操作を繰り返す","遮蔽物越しの敵を含め、選択対象が仕様どおりの順で切り替わる","","CBT 5-12"
"QA-CS-01","GS-02","Combat State and Effect Resolution","assurance","機械","EditMode","critical","通常ダメージ計算","戦闘中","攻撃力と攻撃時補正が既知の組合せで攻撃する","非criticalダメージ = 攻撃力 x 攻撃時補正","","CBT 5-10"
"QA-CS-02","GS-02","Combat State and Effect Resolution","assurance","機械","EditMode","high","クリティカル倍率","戦闘中","critical発生時のダメージを記録する","通常計算にcritical倍率がさらに乗る","","CBT 5-10"
"QA-CS-03","GS-02","Combat State and Effect Resolution","regression","機械","EditMode","high","多段ヒット抑制","範囲/多段攻撃スキルを装備","1体の敵に多段攻撃を当てる","1回の攻撃で同一対象に重複ダメージが入らない","","CBT 5-18 追加"
"QA-CS-04","GS-03","Combat State and Effect Resolution","assurance","機械","EditMode","high","バフ/デバフ/回復の一回限り適用","buff系・debuff系スキルを装備","同じ効果を連続で発動する","効果が重複適用されず、仕様どおり上書き/延長される","","CBT 6-11 追加"
"QA-CS-05","GS-02","Combat State and Effect Resolution","assurance","機械","PlayMode","critical","HP0で死亡・戦闘終了","戦闘中","プレイヤーのHPを0以下にする","プレイヤー死亡で戦闘が終了し、敗北リザルトへ遷移する","","CBT 5-11"
"QA-MT-01","GS-04","Musical Time and Adaptive Arrangement","assurance","機械+人間","PlayMode","critical","BGM構成 4/16/4","戦闘開始","戦闘BGMを最初から最後まで通して聞く","4小節intro → 16小節loop → 4小節outro の構成で再生される","","CBT 7-2"
"QA-MT-02","GS-04","Musical Time and Adaptive Arrangement","assurance","機械+人間","PlayMode","high","装備スキル数によるアレンジ順","スキル2個装備/3個装備の2条件","それぞれで戦闘BGMのloopを2周聞く","2個: original→skill1→original→skill2 / 3個: original→skill1→skill2→skill3","","CBT 7-4/7-5"
"QA-MT-03","GS-04","Musical Time and Adaptive Arrangement","assurance","機械+人間","PlayMode","high","2小節ブロック差し替え","戦闘中にスキル構成を変える(改造画面経由で再出撃)","CRIのブロック差し替えが起きる条件で戦闘を継続する","loopが2小節block単位で差し替わり、拍がずれない","","CBT 7-3"
"QA-MT-04","GS-04","Musical Time and Adaptive Arrangement","guardrail","機械","PlayMode","critical","音楽時間と敵アクションの同期維持","戦闘を5分継続","長時間戦闘し、敵の予告と拍の一致を観測する","時間経過でも敵アクションと拍のずれが蓄積しない","","CBT 7-11 追加"
"QA-MT-05","GS-04","Musical Time and Adaptive Arrangement","assurance","人間","","medium","HUDの再生中要素表示","戦闘中","HUDの音楽要素表示を確認する","現在再生中の音楽要素が識別できる","","CBT 7-6"
"QA-EN-01","GS-02","Enemy Encounter and Stage Simulation","assurance","人間","","critical","敵攻撃の予告表示","戦闘中","敵の攻撃を待つ","攻撃前にline または area の予告が表示され、拍に同期する","","CBT 5-9"
"QA-EN-02","GS-05","Enemy Encounter and Stage Simulation","assurance","機械","EditMode","high","ウェーブ/スポーン","ステージ選択","ステージを最初から最後まで進行する","ウェーブが仕様どおりの順で出現し、プール枯渇や二重スポーンが起きない","","CBT 5-16 追加"
"QA-EN-03","GS-05","Enemy Encounter and Stage Simulation","assurance","人間","","high","ボス戦","ボスを含むステージ","ボス出現から撃破まで進行する","ボス固有の予告・ギミックが動作し、撃破で遭遇が終了する","","CBT 5-17 追加"
"QA-EN-04","GS-05","Enemy Encounter and Stage Simulation","guardrail","人間","","high","ステージ尺 約2分","通常ステージ","標準的なプレイでクリアまでの時間を計測する","約2分に収まる","","CBT 8-11 追加"
"QA-ME-01","GS-05","Mission Evaluation and Result","assurance","人間","","critical","勝利リザルトの表示項目","ステージをクリア","勝利リザルトを開く","ステージ/キャラクター/メイン・サブミッション/経過時間/最大コンボ/ランクが表示される","","CBT 8-3"
"QA-ME-02","GS-05","Mission Evaluation and Result","assurance","人間","","high","敗北リザルトの表示項目","ステージで敗北","敗北リザルトを開く","サブミッション/ランクの代わりに攻略Tipsが表示され、完了と再出撃が選べる","","CBT 8-4/8-5"
"QA-ME-03","GS-06","Mission Evaluation and Result","assurance","機械","EditMode","high","ランク判定 C/B/A/S","評価条件の異なる複数回のクリア","3つの評価条件を満たす度合いを変えてクリアする","C/B/A/S が仕様どおり決まる","要裁定(GS-06: ランク計算式が仕様に無い)","CBT 8-6"
"QA-ME-04","GS-05","Mission Evaluation and Result","assurance","機械","EditMode","medium","リザルト後の戻り先","リザルト表示中","完了を選ぶ","仕様で定めた画面へ戻る","要裁定(GS-05矛盾: Home と 作戦/StageSelect で記述が割れる)","CBT 8-10"
"QA-ME-05","GS-05","Mission Evaluation and Result","assurance","機械+人間","PlayMode","high","再出撃","リザルト表示中","再出撃を選ぶ","同じステージが編成を保ったまま開始する","","CBT 8-5"
"QA-PR-01","GS-03","Progression, Research and Loadout","assurance","機械","EditMode","critical","末尾ノーツ競合","改造画面","コマンド末尾が同じノーツのスキルを2つ装備しようとする","同時装備できず、理由が提示される","","CBT 6-9"
"QA-PR-02","GS-03","Progression, Research and Loadout","assurance","機械","EditMode","high","装備枠の拡張","研究ツリーでスキル6個解放前後","6スキル解放後の特殊ノードを取得する","装備枠が2から3へ増える","","CBT 6-8"
"QA-PR-03","GS-06","Progression, Research and Loadout","assurance","機械","PlayMode","high","研究ツリーの解放とリセット","研究画面","ノードを解放し、リセットを実行する","現在パラメータ/コスト/解放可否が正しく表示され、リセットでポイントが戻る","","CBT 9-10/9-11"
"QA-PR-04","GS-03","Progression, Research and Loadout","assurance","機械","EditMode","medium","スキルレベル上限","改造画面","各スキルを上限まで強化する","個別の上限で頭打ちになり、超過投資できない","","CBT 6-12 追加"
"QA-PR-05","GS-06","Progression, Research and Loadout","assurance","機械","PlayMode","high","ステージ解放と報酬","作戦画面","ステージをクリアして報酬を受領する","左→右の解放ツリーが進み、報酬ポイントが加算される","","CBT 9-2/8-7"
"QA-NA-01","GS-06","Narrative and Game Flow","assurance","人間","","critical","New Game 導線","セーブ無しの状態","タイトルから New Game を選ぶ","title→最初のstory→battle tutorial→home tutorial→Home の順で進む","","CBT 2-6"
"QA-NA-02","GS-06","Narrative and Game Flow","assurance","人間","","critical","Continue 導線","進行中セーブあり","タイトルから Continue を選ぶ","title→Home→Operation→選択story/stage→mission完了 と進む","","CBT 2-7"
"QA-NA-03","GS-06","Narrative and Game Flow","regression","機械","PlayMode","high","シーン完了の一回性","シナリオ再生中","シナリオ完了直前に連打・多重入力・中断復帰を行う","完了処理が二重に走らず、進行フラグが1回だけ立つ","","CBT 11-12 追加"
"QA-NA-04","GS-06","Narrative and Game Flow","assurance","機械","PlayMode","medium","サイドシナリオ","作戦画面","scenario node を選んで読了する","読了状態が保存され、ツリー表示に反映される","","CBT 9-16 追加"
"QA-PS-01","GS-07","Persistence and Player Settings","assurance","機械","PlayMode","critical","5分類の永続化","進行済みデータ","クリア済みstage/skill-tree進捗/装備Kill Chordと順序/Kill Chord別level/option を変更して再起動","5分類すべてが復元される","","CBT 10-1〜10-5"
"QA-PS-02","GS-07","Persistence and Player Settings","assurance","人間","","high","プラットフォーム別保存","PC / Android の両方","それぞれで保存・再起動する","各プラットフォームに適した保存先で復元される","","CBT 10-7/10-8"
"QA-PS-03","GS-07","Persistence and Player Settings","regression","機械","PlayMode","high","セーブ破損復旧","保存ファイルを不正な内容に書き換える","起動する","クラッシュせず、仕様で定めた復旧/初期化が行われる","要仕様(GS-07未解決: 破損復旧・migration が未指定)","CBT 10-6/10-10"
"QA-PS-04","GS-09","Persistence and Player Settings","assurance","人間","","high","設定オーバーレイの決定/取消","任意の画面","設定を開き、音量・操作・表示を変更して取消/決定する","シーン遷移せずoverlayで開き、取消で変更が戻り、決定で保存される","","CBT 9-13"
"QA-PS-05","GS-09","Persistence and Player Settings","assurance","人間","","medium","タイトルのセーブデータリセット","タイトル画面","save data reset を実行する","確認のうえ全データが初期化される","要仕様(GS-09未解決: reset確認の有無が未指定)","CBT 2-4/2-5"
"QA-GU-01","GS-09","Guidance, Feedback and Recovery","assurance","機械+人間","PlayMode","critical","ポーズと再開カウントダウン","戦闘中","ポーズし、再開する","時間が停止し、再開時にカウントダウンが入る","","CBT 11-1〜11-3"
"QA-GU-02","GS-09","Guidance, Feedback and Recovery","assurance","人間","","high","HUD 3種","戦闘中","rhythm / skill / mission の各HUDを確認する","3種すべてが表示され、状態と一致する","","CBT対応なし"
"QA-GU-03","GS-05","Guidance, Feedback and Recovery","assurance","人間","","high","チュートリアル(ステージ0)の予告","New Game 直後","チュートリアルを進める","リズムアクション/通常戦闘/ボスが通常進行前に予告される","要仕様(GS-09未解決: チュートリアル完了基準)","CBT 3-1〜3-4"
"QA-GU-04","GS-09","Guidance, Feedback and Recovery","assurance","人間","","medium","ロード進捗表示","ステージ遷移","インゲームへの遷移を観測する","ロード進捗が表示され、無反応時間が生じない","","CBT 11-10"
"QA-GU-05","GS-09","Guidance, Feedback and Recovery","assurance","人間","","high","コントローラ操作とモバイル操作","PC(コントローラ) / Android","全画面をコントローラのみ/タッチのみで操作する","すべての画面がナビゲート可能で、到達不能な要素が無い","","CBT 11-8/11-9"
"QA-GU-06","GS-09","Guidance, Feedback and Recovery","assurance","人間","","medium","改造画面の未保存離脱","改造画面で編成を変更","保存せずに離脱を試みる","保存/破棄の判断が求められる","","CBT 9-9"
"QA-QP-01","GS-08","(cross-cutting)","guardrail","機械","Performance","critical","PC 60FPS","PC実機","最大負荷のステージを通しでプレイし、フレーム時間を計測する","60 FPS 以上 (frame_time p95 <= 16.6ms)","","CBT対応なし"
"QA-QP-02","GS-08","(cross-cutting)","guardrail","機械","Performance","critical","Android 30FPS","Android実機","同上","30 FPS 以上 (frame_time p95 <= 33.3ms)","","CBT 12-1"
"QA-QP-03","GS-08","(cross-cutting)","guardrail","機械","Performance","high","インゲームロード3秒","各ステージ","作戦画面からインゲーム開始までを計測する","3秒以内","","CBT 12-2"
"QA-QP-04","GS-08","(cross-cutting)","guardrail","機械","Performance","high","15分セッションの安定性","PC/Android","15分連続プレイし、エラーログとメモリ使用量を記録する","エラー0件、メモリリークがほぼ無い","","CBT 12-3/12-4"
"QA-VF-01","GS-03","Combat State and Effect Resolution","assurance","人間","","high","スキルエフェクトの表示","各スキルを装備","全スキルを1回ずつ発動する","発動したスキルに対応するエフェクトが正しい位置・向き・尺で再生される","","CBT 6-13 追加"
"QA-VF-02","GS-02","Player Action and Combat Targeting","assurance","人間","","medium","カメラワーク","戦闘中","標的切替・回避・スキル発動を連続で行う","カメラが仕様どおり追従し、壁抜け・急激な反転が起きない","","CBT 5-19 追加"
"QA-VF-03","GS-06","Narrative and Game Flow","regression","人間","","medium","シーケンス演出の中断","演出再生中","演出中にポーズ/シーン遷移/アプリ中断を行う","演出が破綻せず、復帰後に状態が一致する","","CBT 11-13 追加"
